city,year,month,season,TMAX_mean,TMAX_max,TMAX_std,TMIN_mean,TMIN_min,TMIN_std,PRCP_sum,SNOW_sum,AWND_mean,TMAX_anomaly_mean,TMIN_anomaly_mean,PRCP_anomaly_sum
Houston,2014,3,Spring,20.78,29.4,5.95,9.06,-2.7,5.24,62.3,0.0,3.85,-3.0,-3.07,-10.32
Los Angeles,2014,3,Spring,20.61,29.4,3.21,13.12,10.6,1.25,9.2,0.0,3.3,0.82,1.46,-25.74
New York,2014,3,Spring,7.52,18.9,5.8,-1.17,-10.5,4.89,93.3,3.0,3.21,-2.43,-2.9,0.96
Philadelphia,2014,3,Spring,8.92,20.6,6.34,-1.25,-11.0,4.6,107.5,215.0,4.9,-2.08,-2.66,7.96
Phoenix,2014,3,Spring,27.36,31.7,2.66,13.74,11.7,1.53,25.2,0.0,2.95,0.87,0.9,11.93
San Antonio,2014,3,Spring,22.62,35.0,6.16,9.15,-2.7,5.33,26.9,0.0,4.23,-1.36,-2.53,-17.69
San Diego,2014,3,Spring,21.03,30.6,2.98,14.61,11.1,1.35,32.6,0.0,2.45,0.83,1.81,2.86
Chicago,2014,4,Spring,15.14,26.7,5.57,3.27,-3.2,3.67,72.2,36.0,5.12,0.68,-0.56,-35.0
Houston,2014,4,Spring,26.13,33.3,3.96,15.43,5.0,5.0,39.6,0.0,4.2,-0.44,0.01,-68.65
Los Angeles,2014,4,Spring,20.98,31.7,3.92,13.04,9.4,1.64,6.6,0.0,3.69,0.01,-0.08,-3.86
New York,2014,4,Spring,16.23,25.0,4.73,6.36,-0.5,3.51,199.4,0.0,2.81,-0.13,-0.91,100.95
Philadelphia,2014,4,Spring,17.87,27.8,4.85,6.38,-0.5,3.52,170.0,0.0,4.69,-0.22,-0.97,74.98
Phoenix,2014,4,Spring,30.76,36.7,4.11,16.84,10.0,2.97,0.0,0.0,3.48,-0.57,-0.06,-2.11
San Antonio,2014,4,Spring,28.32,37.2,5.06,15.27,3.9,5.26,17.3,0.0,4.51,1.08,0.02,-69.31
San Diego,2014,4,Spring,21.98,34.4,4.37,14.95,11.1,1.76,13.6,0.0,3.0,0.66,0.49,0.67
Chicago,2014,5,Spring,21.68,31.7,6.92,9.84,2.8,3.99,126.4,0.0,4.55,0.3,-0.7,-12.21
Houston,2014,5,Spring,28.79,31.1,2.49,17.97,8.9,3.77,297.4,0.0,3.89,-1.37,-1.96,128.36
Los Angeles,2014,5,Spring,24.77,36.1,5.29,16.25,12.2,2.06,0.0,0.0,3.65,3.77,1.74,-6.24
New York,2014,5,Spring,22.51,30.0,3.82,13.05,9.4,2.45,111.0,0.0,2.02,0.33,0.19,-3.95
Philadelphia,2014,5,Spring,23.77,31.1,3.74,13.36,9.4,2.56,73.9,0.0,3.71,-0.18,-0.03,-18.71
Phoenix,2014,5,Spring,35.29,42.2,4.34,21.54,15.0,3.09,0.0,0.0,3.74,0.23,0.55,-0.47
San Antonio,2014,5,Spring,30.49,35.0,3.4,18.07,8.3,4.06,126.2,0.0,5.05,-0.3,-1.48,-12.88
San Diego,2014,5,Spring,24.35,36.1,5.69,17.29,13.9,1.42,0.0,0.0,2.94,3.27,1.43,-12.82
Chicago,2014,6,Summer,27.2,32.8,3.53,16.05,9.4,3.62,198.3,0.0,4.2,0.02,-0.15,66.22
Houston,2014,6,Summer,32.6,34.4,1.44,23.45,20.0,1.61,55.5,0.0,3.51,-0.94,-0.06,-111.79
Los Angeles,2014,6,Summer,22.46,24.4,1.15,17.09,15.0,1.31,0.0,0.0,3.41,-0.03,0.62,-0.06
New York,2014,6,Summer,26.91,31.7,2.71,18.04,12.8,2.45,108.1,0.0,1.8,0.17,-0.02,0.42
Philadelphia,2014,6,Summer,28.7,34.4,2.86,18.48,12.2,2.76,138.8,0.0,3.33,0.12,-0.04,-0.54
Phoenix,2014,6,Summer,41.25,43.3,1.4,26.73,23.9,1.96,0.0,0.0,3.32,-0.18,-0.28,-1.42
San Antonio,2014,6,Summer,33.29,35.6,1.29,23.52,19.4,1.9,136.6,0.0,5.26,-0.61,0.23,68.61
San Diego,2014,6,Summer,22.51,24.4,1.15,17.9,16.7,0.77,0.0,0.0,2.68,0.13,0.58,-0.56
Chicago,2014,7,Summer,26.14,31.1,2.69,16.08,12.2,2.93,53.4,0.0,3.73,-2.7,-2.89,-5.02
Houston,2014,7,Summer,33.92,37.2,1.71,23.5,22.2,1.01,137.3,0.0,2.23,-1.01,-1.07,49.16
Los Angeles,2014,7,Summer,24.99,28.9,1.43,19.25,18.3,0.75,3.6,0.0,3.6,0.62,0.92,1.84
New York,2014,7,Summer,28.6,32.8,2.37,20.45,17.2,1.68,142.0,0.0,1.92,-1.15,-1.25,-8.03
Philadelphia,2014,7,Summer,30.42,35.6,2.85,20.68,16.7,2.08,109.3,0.0,4.03,-0.8,-1.07,-39.45
Phoenix,2014,7,Summer,41.71,46.14,2.11,28.99,24.4,2.03,1.6,0.0,3.37,-0.01,0.2,-16.86
San Antonio,2014,7,Summer,34.85,37.2,1.72,23.86,22.2,1.17,82.6,0.0,3.75,-1.05,-0.61,45.31
San Diego,2014,7,Summer,25.7,29.4,1.74,20.58,19.4,0.75,0.0,0.0,2.7,0.97,0.98,-4.49
Houston,2014,8,Summer,34.43,37.2,2.31,23.97,21.7,1.1,31.6,0.0,2.68,-0.62,-0.39,-114.51
Los Angeles,2014,8,Summer,24.8,28.9,1.36,18.79,16.7,0.87,0.8,0.0,3.45,-0.21,0.04,0.67
New York,2014,8,Summer,28.03,32.2,2.59,19.21,16.1,1.84,57.2,0.0,1.66,-0.94,-1.85,-50.51
Philadelphia,2014,8,Summer,28.45,33.9,2.4,18.96,15.6,1.85,90.1,0.0,3.15,-0.97,-1.37,-17.63
Phoenix,2014,8,Summer,39.05,43.9,2.98,27.13,21.7,2.47,29.7,0.0,3.16,-1.59,-1.35,3.37
San Antonio,2014,8,Summer,37.45,38.9,1.35,24.85,21.1,1.5,2.0,0.0,4.08,1.3,0.33,-45.74
San Diego,2014,8,Summer,25.86,29.4,1.29,20.59,19.4,0.75,2.1,0.0,2.69,-0.08,0.22,1.23
Houston,2014,9,Fall,31.78,36.1,3.01,22.24,17.8,2.08,98.7,0.0,2.62,-0.55,0.19,-54.76
Los Angeles,2014,9,Fall,26.04,32.2,2.47,19.51,16.7,1.64,0.5,0.0,3.23,0.12,0.83,-5.14
New York,2014,9,Fall,25.16,33.3,4.16,16.77,11.1,3.75,30.7,0.0,1.86,-0.17,-0.58,-72.3
